Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     59.51     0.00       11     0.00     0.00  void arma::arma_check_bad_alloc<char [39]>(bool, char const (&) [39])
  0.00     59.51     0.00       11     0.00     0.00  double* arma::memory::acquire<double>(unsigned long long)
  0.00     59.51     0.00        9     0.00     0.00  arma::gmm_dist_mode::gmm_dist_mode(unsigned long long)
  0.00     59.51     0.00        8     0.00     0.00  arma::Mat<double>::Mat(arma::arma_vec_indicator const&, unsigned int)
  0.00     59.51     0.00        8     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     59.51     0.00        8     0.00     0.00  std::operator~(std::_Ios_Fmtflags)
  0.00     59.51     0.00        8     0.00     0.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     59.51     0.00        8     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     59.51     0.00        7     0.00     0.00  arma::Col<double>::Col()
  0.00     59.51     0.00        7     0.00     0.00  arma::Mat<double>::init_warm(unsigned long long, unsigned long long)
  0.00     59.51     0.00        7     0.00     0.00  void arma::arrayops::inplace_set<double>(double*, double, unsigned long long)
  0.00     59.51     0.00        6     0.00     0.00  arma::Mat<double>::set_size(unsigned long long)
  0.00     59.51     0.00        4     0.00     0.00  arma::Col<double>::Col(unsigned long long)
  0.00     59.51     0.00        4     0.00     0.00  arma::Mat<double>::init_cold()
  0.00     59.51     0.00        4     0.00     0.00  arma::Mat<double>::Mat(arma::arma_vec_indicator const&, unsigned long long, unsigned long long, unsigned int)
  0.00     59.51     0.00        4     0.00     0.00  arma::diskio::safe_rename(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     59.51     0.00        4     0.00     0.00  arma::diskio::gen_tmp_name(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     59.51     0.00        4     0.00     0.00  bool arma::diskio::save_csv_ascii<double>(arma::Mat<double> const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     59.51     0.00        4     0.00     0.00  bool arma::diskio::save_csv_ascii<double>(arma::Mat<double> const&, std::ostream&)
  0.00     59.51     0.00        4     0.00     0.00  arma::Mat<double>::save(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, arma::file_type, bool) const
  0.00     59.51     0.00        4     0.00     0.00  std::ios_base::flags() const
  0.00     59.51     0.00        4     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags)
  0.00     59.51     0.00        4     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     59.51     0.00        4     0.00     0.00  std::ios_base::flags(std::_Ios_Fmtflags)
  0.00     59.51     0.00        4     0.00     0.00  std::ios_base::unsetf(std::_Ios_Fmtflags)
  0.00     59.51     0.00        4     0.00     0.00  std::ios_base::precision(long)
  0.00     59.51     0.00        4     0.00     0.00  std::isinf(double)
  0.00     59.51     0.00        3     0.00     0.00  arma::solve_opts::opts_no_approx::opts_no_approx()
  0.00     59.51     0.00        3     0.00     0.00  arma::solve_opts::opts_equilibrate::opts_equilibrate()
  0.00     59.51     0.00        3     0.00     0.00  arma::solve_opts::opts_fast::opts_fast()
